review,sentiment_gt
almayın hiç bir faydası yok 1 aydır kullanıyorum sadece kaşıntı başka bir değişim yok,Negatif
harika kendi bedeninizi alabilirsiniz fiyat performans çok iyi,Pozitif
daha önce lacivertinin s bedenini almıştım kalıbını duruşunu çok beğendiğim için bu ikili paketi de aldım fakat kalıpları asla aynı değil kalçanızdan zor geçiyor belinize tam oluyor duruşu da lacivert kadar güzel değil ama yinede iade etmeyeceğim kullanacağım,Negatif
o kadar güzel ki bayılıyorum💙 kumaşı kesimi duruşu mükemmel! lastik kısmı biraz sıkı beliniz ince değilse 1 beden büyük alırsanız daha iyi olur yoksa ortadan sıkılmış diş macunu gibi görünebilirsiniz,Pozitif
"e etek ne de şort, kalıbı hatalı gibi duruyor giyince, iç gösteriyor ve kumaşını sevemedim. fiyat kalite performans dengesi sıfır. mecbur iade",Negatif
"ne etek ne de şort, kalıbı hatalı gibi duruyor giyince, iç gösteriyor ve kumaşını sevemedim. fiyat kalite performans dengesi sıfır. mecbur iade",Negatif
kumaşı terletiyor durusu güzel ama kumaşını sevemedim,Pozitif
hayal kırıklığı o kadar kötü ki çok şaşırdım . kendi bedenimi almama rağmen oldukça bol ve pot du maalesef iade,Negatif
eh yaniii sert bi kot,Pozitif
aşırı kaliteli bi pantolon bedenimi aldım tam oldu sert bi jeans ama böyle daha tok duruyor bence bayıldım!,Pozitif
tam beklediğim gibi çok kaliteli ve şık bir ürün tam bedeninizi alın..,Pozitif
doğru kullanmamıza rağmen her yeri paslandı. tavsiye etmiyorum,Negatif
75 db ses ile çalışıyor,Negatif
çok memnunum. mükemmel utuluyor.  dışarıdaki fiyatlardan daha uygun aldim.  kağıt gibi saniyesinde ütüleme yapıyor.  ne bastiriyorum  ve defalarca üstünden geçiyorum.  tek kelimeyle mukemmellll..,Pozitif
çok güzeller satıcıya teşekkürler güzel paketlenmişti sapasağlam ulaştılar elime,Pozitif
görseller yanıltıyor açıklamayı okuyun. 1 büyük dikdörtgen 1 küçük dikdörtgen geldi.,Pozitif
bu ürünün neden bu kadar abartıldığını anlamıyorum. hiç kapatmıyor ve çok yağlı his bırakıyor. açık rengini aldim ama yine de çok koyu geldi,Negatif
müthiş bir ürün. pahalı ama dayanıklı.,Pozitif
çokkkk kötü sanırım sahtesi,Negatif
uzun zamandır kullanıyorum bence en iyisi,Pozitif
kesinlikle mükemmel. başka makyaj temizleme ürünü kullanamıyorum.,Pozitif
kaliteli ofisime alıyorum hep,Pozitif
iş görür fena değil,Pozitif
ürün çok ıslak değil.çabuk tüketilmesse kurur.beğenmedim,Pozitif
10 tam puan😀,Pozitif
abartıldığı kadar harika sonuçlar vermiyor,Pozitif
kalitesine bayıldım çok güzel herkese tavsiye ederim,Pozitif
ürüne su geldi resmen pas akıtıyor,Pozitif
ürünü begendim beklentimi karsiladi tavsiye edilir,Pozitif
"vazelin gibi, fayda görmedim malesef. satın aldım a çok pişmanım.",Pozitif
"tartışmasız çok güzel bir ürün, özellikle karma ciltler için.",Pozitif
herkes kendi bedenini almali,Pozitif
fena degil kollari vatkasi hosuma gitmedi,Pozitif
çok iyi guzel kahve yapiyor beklentimi karsiladi,Pozitif
kesinlikle tavsiye ediyorum ben aldım menmun kaldım arkadaşımada aldım,Pozitif
tasarım harikası🌸 yüksek fiyatına rağmen kalitesi ve şıklığıyla fazlasıyla göz dolduruyo,Pozitif
"tam bir fiyat performans ürünü. saçlarım kalın telli, çok ve uzun olmasına rağmen 15 dakikada düzleştirebildim. tavsiye ederim",Pozitif
"tam bir fiyat performans ürünü. saçlarım kalın telli, çok ve uzun olmasına rağmen 15 dakikada düzleştirebildim. tavsiye ederim.",Pozitif
ürün çok güzel ve zamanında geldi. tavsiye ederim,Pozitif
çok beğenmedim ürünü bağlantı sorunu yaşadım. ses seviyesi çok düşük,Negatif
huawei kalitesine hiç yakıştıramadığın kulağı acıtan kulaktan durmayan(bütün silikon başlıkları denedim) bir kulaklık,Negatif
ses seviyesi fazla yüksek değil,Pozitif
ürün çok güzel ve kullanışlı.kaliteli markalardan daha sessiz çalışıyor.,Pozitif
ben etkisini göremedim. iki şişe kullandım. sanırım bir daha almam.,Negatif
cok övüldüğü için aldım,Pozitif
güzel ve kullanışlı ürün teşekkürler,Pozitif
sevmedim bel kısmı sıkı üst kısmı geniş kalitesi de çok iyi değil verebilir,Negatif
"kumaşı berbat , metallerin rengi kararmış asla almayın",Pozitif
cok kaliteli ürün,Pozitif
"ürün resimdeki gibi geldi, güzel ve kullanışlı",Pozitif
sürekli kullanıyorum,Pozitif
çok iyi bir parça kumaş kalitesi mükemmel çok memnunum kesinlikle alın derim...,Pozitif
kumaşı çok güzel çok kaliteli duruyor,Pozitif
fırçayla fön çekmiş gibi oluyor saçı öyle aşırı bir etkisi yok açıkçası.saçım düz olmasına rağmen orta derecede memnunum,Pozitif
bu fiyata gayet iyi ıslak ve kuru saçla da denedim gayet güzel oldu benim saçlarım uzun ve kalın olmasına rağmen işe yaradı sadece çabuk ısınıyor biraz,Pozitif
"etkisini birkaç kullanımda bile gördüm, çok memnunum. her kuruşunu hak eden bir ürün.",Pozitif
yüzüm sivilce kustu. benim cildime hiç yaramadı. çöp oldu…,Negatif
bu ürünü cok seviyorum her seferinde alıyorum sivilce vs yasamadım cildim karma. cok hızlı kargo ve güzel paketleme,Pozitif
ürün güzel fakat kesinlikle tam kalıp,Pozitif
"terliğin kalitesi ve rahatlığı çok iyi, çok beğendim ayrıca hedlyeniz içinde çok teşekkür ederim",Pozitif
çok iyi parlatıyor kalitesi de çok iyi,Pozitif
urunum gayet saglam sekilde elime ulasti kaliteli ve saglam tavsiye ederim,Pozitif
kaliteli guzel urun,Pozitif
tavsiye üzerine aldım fena değil günlük kullanılır,Pozitif
çok güzel kokuyo fresh bir koku ve kalıcı gerçekten,Pozitif
kokusuna ve tüm gün kalıcı olmasına bayıldım 🥰,Pozitif
çok güzel yumuşacık yok gibi kesinlikle tavsiye ediyorum desteği de yeterli derecede :),Pozitif
"kalitesinden çok memnun kalmadım, dikişleri pek iyi değildi",Negatif
hem rahat hem toparlayıcı sıkı bir tayt ben çok beğendim,Pozitif
kokusu çok hoş kullanıyorum baya saç dökülmem azaldı,Pozitif
bu urun benim her seyim kokusuna her seyine bayiliyorum bu olmadan bir hayat dusunemiyorum,Pozitif
çok severek kullanıyorum anında beyazlık sağlıyor,Pozitif
gözeneklerime çok iyi geliyor hangi sitede ucuza bulursam ordan alıyorum hep. başarılı ürün.,Pozitif
gayet pratik ve kullanışlı...,Pozitif
ürün çok güzel tavsiye ederim çok pratik sil bırak iz kalmıyor,Pozitif
çeyizim için aldım harika alın aldırın :),Pozitif
mükemmel kalip kullanışlı çeyiz icin,Pozitif
kaç aydır kullanıyoruz gayet güzel ürün,Pozitif
çok kullanışlı ve fırçası yumuşak,Pozitif
biraz sert ve simli çok bayılmadım ama kullanmaya çalışıyorum,Pozitif
güzel tüy topluyor satıcıya da teşekkür ediyorum,Pozitif
"ses kalitesi çok iyi, tavsiye ediyorum kesinlikle. hızlı teslimat ve hediyeniz için de ayrıca teşekkür ederim 🤩",Pozitif
saçlarım parlak ve canlı duruyor hızlı teslimat için teşekküller,Pozitif
kaliteli bez,Pozitif
ürün çok güzel herkese tavsiye ederim özellikle ambalajlı tertemiz teslim aldım çok hoşuma gitti tekrar,Pozitif
güzel temizliyor begendim. harika paketlenmisti saticiya tesekkurler.,Pozitif
ürün gayet güzel doğru ölçüm yapıyor tavsiye ederim,Pozitif
ürün çok güzel çok memnun kaldım kokusu da çok hafif 👍🏻,Pozitif
ürünü çok beğendim. şık ve güzel görünüyor. özellik bakımından yeterli,Pozitif
kargo paketleme güzel zarar görmeden geldi. ürün çalışıyor. tek sıkıntısı biraz ağır. onun dışında çok güzel,Pozitif
parasına göre gayet başarılı,Pozitif
tablet o kadar kaliteli ki düşünmeden alın,Pozitif
çok güzell yazılımı var renkler macro ayarları ve 9 tuş ürün efsane hiç düşün neden alın derim:),Pozitif
"güzel,korunaklı kargolandı ama ürün biraz basit duruyor,arkaya doğru çok fazla esnedigi için kırılacakmıs gibi geliyor.",Negatif
harika bir ürün baska marka denemedik ama bir erkek olarak kek yapmak harika,Pozitif
çok beğendim tasarım güzel paketleme iyi kargo hızlı ürün harika,Pozitif
beklediğimden güzel görünüyor haznesi baya büyük ilk olarak patlıcan közledik sonuç mükemmel. wifi bağlantısı çok iyi çalışıyor.,Pozitif
biraz dandik gibi görünüyor elimde kalacak diye korktum  üst kapağıni açtım bir dahs kapatmaya çalışırken tam kapanmadi ağzı havada kaldı,Negatif
sorunsuz elime ulaştı kahvesi bir harika iyiki bu markayı seçmişim ilk közde kahve yaptım tadı harika,Pozitif
tam bir fiyat performans ürünü ciddi anlamda memnunum cay yapmasi malzeme kalitesi ic ekipmanlari herşeyi çok yeterli 6 aydir kullanıyorum henuz bir problem gormedim kesinlikle tavsiye ederim,Pozitif
"çok kaliteli bir ürün fazlasıyla memnunuz ve severek kullanmaya devam ediyoruz, çok geç soğuyor ve kullanırken kalitesi kendini belli ediyor",Pozitif
"çok iyi hemen ısınıyor ,saçlarım pürüzsüz dümdüz oldu. sipariş verdiğim ertesi günü hemen elime ulaştı",Pozitif
kesinlikle alınmalı  iyi ki de aldım ilk kullanımda kesinlikle farkı hissediyorsunuz cildinizde bir nefes alma hissi aşırı güzel çok tşk ederim bayıldım🙏🙏,Pozitif
harika bir ürün 👍🏻,Pozitif
çok iyi beğenerek kullanıyorum 2-3 kişi için ideal,Pozitif
çatlaklarımı azalttı ve selülitlerime çok iyi geldi memnun kaldım,Pozitif
çok kaliteli bir mont yalnız bir beden küçüğünü alın kalıbı baya büyük,Pozitif
beklediğim kadar değil anlık beyazlama sağlıyor düzenli kullanımda da komple geçmiyor,Pozitif
aşırı güzel çok severek giyiyorum,Pozitif
satici soz verdiği tarihte kargoladi urun sapasaglam bir şekilde geldi cok kaliteli cok memnun kaldim teşekkür ediyorum,Pozitif
m. bazen ürün çok iyi fakat satıcı işe yaramazsa ürünün kalitesinin de kıymeti kalmıyor. çünkü yolda deforme oluyor yani satıcı bazen 1 tık öne geçiyor teşekkürler,Negatif
"ev için çok ideal, bir adet foto denemesi yaptım oda iyiydi fiyat performans olarak süper",Pozitif
"harika,net ses ve kuvvetli bas verirken kulağa mükemmel şekilde oturur,çok beğendim,tavsiye ederim,teşekkürler",Pozitif
"rün çok kullanışlı bayıldım, internet bağlantı hızınıza göre kullanım farklı gelebilir ama görüntü kalitesi net, ses iyi.. fiyatını hakediyor. kargo temiz ve sağlam geldi. teşekkürler",Pozitif
çok rahat ve şık bir ayakkabı. bu markayı mutlaka deneyin a dostlar,Pozitif
bahsettikleri ile alakası asla fiyatını haketmeyen bir ürün bakkaldaki normal bir diş macunu ile hiç bir farkı yok kesinlikle tavsiye etmiyorum,Negatif
bu kadar güzel yorum görünce 2 tane almıştım ama hiç beğenmedik daha birincisini bile kullanamadım. diş eti kanaması yaşıyordum daha da fazla olmaya başladı. kokusunu da sevmedim.,Negatif
ürün mükemmel eğer kahve tiryakisi ve sütlü kahveleri beğeniyosanız muhakkak alın. kahveleri sıcak çıkarıyor ılık diyenlere aldanmayın.,Pozitif
neden daha önce almamışım dediğim bir ürün oldu süpürmesi o kadar kolay. satıcıya da sonsuz teşekkürler her soruma sabırla cevap verdiği için. çok pahalısını almayın arkadaşlar inanın işinizi görür bu makine,Pozitif
ayak pedal kısmındaki demir kırıldı.insan sağlığını tehlikeye atıyorsunuz.başka söze gerek yok,Negatif
paranızı çöpe atmak istemiyorsanız bu ürünü almayın aldırmayın. 2 ay sonunda kullanılmayacak bir durumda kayış kalitesiz . ürün parçaları eksik geldi.,Negatif
bebeğimizin en çok vakit geçirdiği yer. bu zamana kadar bebeğimiz için yaptığımız ücretini sonuna kadar hakeden ürün bu oldu. üzerinde vakit geçirmekten çok mutlu kendini hareket ettirmekten de çok keyif alıyor,Pozitif
tok tuttuğunu ve zayıflatmaya yardımcı olduğunu kesinlikle düşünmüyorum. reçel gibi yedim resmen . sadece bağırsakları çalıştırıyor o da çok fazla değil,Negatif
indirimdeyken almıştım çok memnun kaldım,Pozitif
iki kutu kullandım ve hiç faydasını görmedim. sadece biraz kilo aldım,Negatif
çok memnun kaldım. gece kullanım için ideal. çıkarma ihtiyacı hissettirmiyor.,Pozitif
kaliteli oldukca güzel paketleme,Pozitif
çok güzel ışık veriyor çok memnunum.. yemek masalarımın en şık aksesuarı,Pozitif
başlığın lacivert olduğu belirtilmemiş gri gibi duruyodu gri diye aldım kot deseni lacivert çıktı hiç beğenmedim keşke daha detaylı anlatılsa ürün bizde iadeyle uğraşmasak üstelik mesajlarada dönüş yapılmıyo,Negatif
"geniş ve kullanışlı, beğendim.",Pozitif
"ürün ilk elime ulaştığında bataryasında problem vardı , müşteri temsilcileri sağolsunlar çok ilgilendiler hemen ürün değişimi yapıldı. bilgisayarımı kurdum. ve çok memnunum. hepsiburada kalitesinden şaşmam. herkese tavsiye ederim.",Pozitif
ürünün öne çıkan özelliği soğutması bence onun dışında fiyat performans olarak güzel buldum,Pozitif
gerçekten harika bi bilgisayar tam beklediğim sekilde fiyat performans olarak tam yerinde tavsiye ederim,Pozitif
super,Pozitif
ürün çok çabuk elimize ulaştı şaşırdık doğrusu cumartesi öğleden sonra verdik pazartesi sabah elimizdeydi .sorunsuz geldi . kargolama iyiydi.kurulumunu yaptık şimdilik memnun kaldık.,Pozitif
tartışmasız casper kalitesi en iyisi olup iyi ki aldım. alın ve ömür boyu arkanıza bakmayın,Pozitif
"ayağım 40 olmasına rağmen 41 sipariş ettim dar kalıp biliyorum çünkü.  ama 41 bile kangren etti, iade ettim. giydikçe rahatlasip yumuşar ama o zamana kadar yara olur ayaklar.",Negatif
anlarinda kanca görünüyor ama benimkinde kanca yok o yuzden 1 yıldız,Negatif
farklı ürün gönderildi,Negatif
"eşime aldım fakat hiç memnun kalmadı hiç rahat değil iki çift birbirinden kalıp olarak farklı, aldığımıza çok pişmanız",Negatif
"eşime aldım ancak giyemiyor çünkü sürekli ayağını yara yapıyor daha önceki botu da cat markasiydi ancak bu bot pek mutlu etmedi, hatta orijinal degilmi demeye başladı.",Negatif
ürün kaliteli fakat bana gelen ürünün sağ ayağı kusurluydu kullanilmis gibiydi değişim talebinde bulundum bakalim.,Negatif
bot üzerinde derin iz ve lekeler var.  iade ediyorum.,Negatif
cat in en kalitesiz ürünü olsa gerek,Negatif
bence orijinal değildi,Negatif
"kalıbı çok büyük, hiç beğenmedik iade ettik",Negatif
çakma yerli üretim,Negatif
sağ ve sol teki farklı numaralar geldi iade ettim,Negatif
berbat cat kalitesi yok,Negatif
ürün hemen çökme yaptı,Negatif
hasarlı ve giyilmiş ayakkabı gönderdiler zaman kaybı.,Negatif
%100 şu geçirmez garantili ürün değil bilginiz olsun üstünde waterproof ibaresi olmayan ürünlerin hiçbiri şu geçirmez garantisi vermez kesinlikle israf paranız heba olur,Negatif
hiç rahat değil,Pozitif
"çok kötü orıjınal gıbı durmuyor,",Negatif
çakma ürün,Negatif
"am numaranız neyse onu almanız gerekiyor , yorumlara bakarak bir numara küçük aldım ve olmadı",Negatif
botlar yağmurda su geçiriyor. açıklamada yazan su geçirmez ibaresine inanmayın,Negatif
41 numara ile degisim istemek adina talep olusturup kargoladim fakat iade kabul ettiler. satici 👎,Negatif
ürün defolu geldi. cat markasına hiç yakışmadı.,Negatif
çok kötü,Negatif
alabileceğiniz en rahatsız edici ayakkabı yemin ediyorum,Negatif
berbat taban yapıştırması kartondan keçenin altındaki yer,Negatif
fena değil,Pozitif
telefon istediğim gibi çıkmadı iade etmek istiyorum,Negatif
satıcı telefon kılıfı göndermedi,Negatif
kullanımı zor bir tlfon tavsiye etmem,Negatif
ürünün sıkıntısı hiç bitmiyor hiç bir uygulama doğru düzgün çalışmıyor ekran kapalı iken hic bir uygulamadan bildirim gelmiyor,Negatif
"google uygulamaları yok, bu büyük bir sorun, gspace programını kullanarak bazı uygulamalara erişim program içinden gerçekleştiriliyor, programı açmadan uygulamaları kullanamıyorsunuz.",Negatif
berbat telefon.ben de huawei mate 20lite vardi.harikaydı.ama bu google servislerinin doğru düzgün çalışmıyor.tmm herşey bir şeklide indiriliyor fakat ya yavaş yavaş ya da tekrar yükleyin falan gibi msjlarvgeliyor. var güzel. ama değer mi değmemiş.,Negatif
"kamerası arızalı geldi,donuyor,geçişleri 10 saniye sürüyor,ürün için iade talebi oluşturdum, umarım sıkıntı yaşamadan iade edebilirim...",Negatif
telefon elimde dururken bir 5 dk a ısınıyor.sarj alırken isiniyor,Negatif
satıcı sattığı urunun arkasinda durmuyor. ayıplı ürün olmasina rağmen çözüm üretmek yerine gecistirici davranıyor,Negatif
ürünun on kamerasi mor efektli gibi cekmeye başladı dusme darbe herhangi bi olay olmadi ama birden on kamera morumsu pembemsi cekmeye basladi,Negatif
begenmedim,Negatif
iyi hoşda çok ağır,Negatif
merhaba. öncelikle 1 yıldız vermemin sebebi aslnda ayıplı ürün olduğunu bildirmek.,Negatif
ürünü yaklaşık 1 senedir kullanıyorum. özellikle tüm yorumları okuyarak satın aldım. ama hayal kırıklığına uğradığım özellikleri oldu.,Negatif
telefonun ekranıyla kasası arasında kenarlarda boşluk var ve buralardan ışık çıkıyor. ayrıca ekrana dokunduğunuzda ekran yerinden oynuyor ve ses çıkarıyor. gerçekten mağdur oldum.,Negatif
telefonun ahizesinden cok az ses geliyor  ve hoparloru de en yuksek seste cızirti yapiyor  hepsiburadanin kendisinden satin aldim sirf  bu sorunlari yasadigimda  guvenle degistirebileyim diye,Negatif
arızalı telefon geldi...,Negatif
burdan  aldigim yine  bir  iphone  hatasi telefon  kurulum  yapilirken  isiniyor  telefonda  konusma  yapin  on  dkika  isiniyor  sarjdayken  asiri  isiniyor,Negatif
ürünün sağ üst köşesi saat kadrajının üstü ve altında ölü pixel? var. ekran bozukluğu nedeniyle iade yapıyorum. umarım beni mağdur etmezler,Negatif
ürünü aldım 2 ay sonra ön hopörler arızası çıktı.,Negatif
telefonun ekranında leke vardı iade kabul etmeyeceklerini bildiğim için uğraşmak istemedim,Negatif
cihaz aciklamasinda belirtildigi gibi gelmedi. ıade talep ettim.,Negatif
gelen urunun ahizesi calismiyordu. hepsi burada beni magdur etmedi ve iade yaptim.,Negatif
o kadar para verip sıfır diye alıyoruz ama telefon daha önce kullanılmış çıkıyor.,Negatif
"kullanılmış paketi açılmış ürün gönderiyor hepsbibuarada,sanki appleın kutusunu jelatinini bilmiyoruz",Negatif
ürün daha önceden kutusu açılmış  temizlenmiş sonradan kutuya orijinal olmayan bir jelatinli gönderdiler  telefon orijinal kullanılmamış ama daha önceden kutusu açılmış olması rahatsız ediyorum dici,Negatif
telefonun kutusu ezik geldi ve arka tarafıyla kasası arasında açıklık var.,Negatif
batarya yı günde ikikez şarj etmek zorunda kalıyorum tavsiye etmiyorum,Negatif
ürün hiç. açılmadı  gerçekten yazık ya satıcı da hiç ilgilenmedi değişim istedim kaale bile almadılar,Negatif
"ürünümün kamerası bozuk geldi , değişim tercihinde bulunmama rağmen direk paramı iade edildi.",Negatif
ürünü 1 aydır kullanıyorum. parlaklık fullde olduğu zaman ekranın alt kısmı ana menüde olsam bile çok ısınıyor.,Negatif
ekran sapsarı kesinlikle almayın rezalet resmen,Negatif
ürün arka camından hasarlı geldi suriye’de görevde olduğum için üstüne düşüp iadesini yapamadım,Negatif
aldığım telefon arızalı çıktı kamerası insanı hayalet gibi gösteriyor konuşma yaparken kendi kendine kapanıp açılıyor servise göndermek zorunda kaldım,Negatif
aşırı şarj gidiyo daha 2. gün ve cihaz ısınıyor müzik dinlemeyle (3 saatte %40/45 ) arası şarj gitti ürün yenilenmiş gönderiyolar,Negatif
ilk gelen ürün maalesefki ikinci eldi sanırım. değişim yapmak zorunda kaldım.,Negatif
"telefonun ekranı çizik geldi, iade etmek zorundayım",Negatif
arkadaşlar 10k üzerinden aldığım telefona üstüne birde kargo ücreti ödedim fark etmedim etseydim iade edeceektim ama iş işten geçti kesinlikle almayın.,Negatif
arızalı geldi 2 kez.,Negatif
iphone işte parası olan alsın,Negatif
marka ya verilen paradır. gerisi bos,Negatif
fiyatına göre bir ürün değil,Negatif
paketleme ve kargo çok kötü ve özensiz telefon kırılmaya darbeye vb. şeylere müsait,Negatif
ürün bozuk geldi iade ediyorum satıcının bilgisine.,Negatif
satıcı berbat,Negatif
"ürünün 1 gün geçtikten sonra arızalı olduğunu fark ettim, apple servisi 1 hafta süre istedi, benim için android’den geçiş sonrası büyük hayal kırıklığı oldu iphone",Negatif
ölü piksel vardı geri iade edildi.,Negatif
kotu,Negatif
pil sıcak iyi değil,Negatif
ürün bozuk geldi sarj soketi bozuk şarj almıyor,Negatif
face ıd çalışmıyor ve iade edeceğim,Negatif
keşke daha önce alsaydım. çabuk geldi. indirime girdikçe alacağım.,Pozitif
fiyatı düştükçe stok yaptığım bir ürün,Pozitif
dı gayet iyi 1 kutu bitirince yorum yapmak istedim gayet etkili bir çay ödem atmada çok yardımcı oldu yeme isteğinizde azalıyor bayıldım,Pozitif
hiçbir faydasını görmedim bazı kullanıcılar ilk kullanımdan itibaren etkisini gördük demiş ilk kullanımda mucizeler beklemiyordum zaten ama ne bir ödem atılması ne bi şişkinlik problemi hiçbirine etkisi olmadı. aromalı bitki çayı niyetine bir kutu bitirdim. bi daha alır mıyım. hayır,Negatif
"ses kalitesi gayet iyi, mikrofonla görüşmede de hiçbir sorun yaşamadım. online derste kullandım, orada da iyiydi. bağlanma hızı süper.",Pozitif
"hepsiburada'dan aldım, ithalatçı garantili geldi. kulakta kaba duruyor.",Negatif
ben aldim sizde guvenerek alabilirsiniz ses kalitesi vb cok gusel ve merak edenler icin ürün orjinal,Pozitif
ben çok beğendim şimdilik hiçbir sorunu yok üç gündür kullanıyorum henüz,Pozitif
sarjinin çok dayanıklı oldgunu söyleyemem iki güne bir şarj ediyorum ama  çok kullanıyorum onun dışında mükemmel. bir ürün teşekkürler,Pozitif
ses seviyesi biraz düşük ama gerisi mukemmel,Pozitif
çok çok güzel bir cihaz. kendi küçük ama ses kalitesi çok iyi. yani gümbür gümbür ses var. aldığım için çok mutluyum. içeride dışarı da rahatlıkla kullanılabilir. şarj iyi 4-5 saat tek şarj da dinleyebilirsiniz.,Pozitif
çevremde köpük yapmadığını söyleyenler olmuştu yanıldıklarını rahatlıkla söyleyebilirim. içindeki ölçü kaşığı ile konulduğunda gayet köpüklü oluyor.,Pozitif
"güzel bir ürün ben beğenerek kullanıyorum köpüğü lezzeti yerinde bir yıldız kırma sebebi ise bittiğinde uyarı sesi az ve melodili değil başında değilseniz anlık, bittiğini duyamıyorsunuz bu durumu sevmedim",Pozitif
"ürünü beğendik. sütü güzel ısıtıyor. taşma yapışma yok. közde kahve keyifli, köpüklü. satıcı ürünü kalınca karton kutuyla paketlemiş. hızlı teslimat.",Pozitif
iyi ki almışım. çok memnun kaldım. eşim bile artık mükemmel kahveler yapabiliyor☺️,Pozitif
